Experiment,Model,Reward,Efficiency (%),Regime,Capacity,Runs
2,EXPNEURALUCB,3748.37,90.6,Tb,S1,5-run 
3,EXPNEURALUCB,4448.73,80.6,Tb,S1,5-run 
4,EXPNEURALUCB,6371.81,92.3,Tb,S1,5-run 
5,EXPNEURALUCB,7212.95,87.0,Tb,S1,5-run 
1,EXPNEURALUCB,2636.41,94.9,Tb,S1,5-run 
2,EXPNEURALUCB,3817.66,92.2,Tb,S1,5-run 
3,EXPNEURALUCB,3060.98,55.4,Tb,S1,5-run 
4,EXPNEURALUCB,6154.29,88.5,Tb,S1,5-run 
5,EXPNEURALUCB,6883.11,84.5,Tb,S1,5-run 
1,EXPNEURALUCB,2425.78,87.0,Tb,S1,5-run 
2,EXPNEURALUCB,3929.26,94.0,Tb,S1,5-run 
3,EXPNEURALUCB,4148.86,74.4,Tb,S1,5-run 
4,EXPNEURALUCB,6253.07,89.7,Tb,S1,5-run 
5,EXPNEURALUCB,8193.25,98.0,Tb,S1,5-run 
1,EXPNEURALUCB,2573.18,93.2,Tb,S1.5,3-run 
2,EXPNEURALUCB,3831.74,92.5,Tb,S1.5,3-run 
3,EXPNEURALUCB,5054.06,91.5,Tb,S1.5,3-run 
1,EXPNEURALUCB,2494.13,90.5,Tb,S1.5,3-run 
2,EXPNEURALUCB,3786.6,91.6,Tb,S1.5,3-run 
3,EXPNEURALUCB,4659.56,84.5,Tb,S1.5,3-run 
1,EXPNEURALUCB,2540.21,92.0,Tb,S1.5,3-run 
2,EXPNEURALUCB,3651.29,88.2,Tb,S1.5,3-run 
3,EXPNEURALUCB,4765.26,86.3,Tb,S1.5,3-run 
1,EXPNEURALUCB,2420.73,88.2,Tb,S1.5,3-run 
2,EXPNEURALUCB,3778.86,91.4,Tb,S1.5,3-run 
3,EXPNEURALUCB,4379.0,79.1,Tb,S1.5,3-run 
1,EXPNEURALUCB,2334.41,83.8,Tb,S1.5,3-run 
2,EXPNEURALUCB,3396.28,81.2,Tb,S1.5,3-run 
3,EXPNEURALUCB,5395.65,96.8,Tb,S1.5,3-run 
1,EXPNEURALUCB,2220.82,80.4,Tb,S1.5,5-run 
2,EXPNEURALUCB,3850.63,92.9,Tb,S1.5,5-run 
3,EXPNEURALUCB,4438.12,80.3,Tb,S1.5,5-run 
4,EXPNEURALUCB,6264.19,90.7,Tb,S1.5,5-run 
5,EXPNEURALUCB,7623.33,92.0,Tb,S1.5,5-run 
1,EXPNEURALUCB,2511.44,91.1,Tb,S1.5,5-run 
2,EXPNEURALUCB,3669.62,88.8,Tb,S1.5,5-run 
3,EXPNEURALUCB,4557.05,82.7,Tb,S1.5,5-run 
4,EXPNEURALUCB,6310.84,91.6,Tb,S1.5,5-run 
5,EXPNEURALUCB,7613.74,92.1,Tb,S1.5,5-run 
